"price","avg_sales"
"7.99","1642.5000000000000000"
"9.99","2523.5000000000000000"
"12.99","2235.6666666666666667"
"19.9","1180.0000000000000000"
"19.99","2346.6000000000000000"
"27.9","2369.5000000000000000"
"29.9","1831.0000000000000000"
"29.99","2929.0000000000000000"
"35.9","2265.5000000000000000"
"39.9","1907.6153846153846154"
"45.9","1505.6923076923076923"
"47.9","1984.7500000000000000"
"49.9","1419.5555555555555556"
"59.9","1810.6666666666666667"
"69.9","1805.6875000000000000"
"69.99","952.0000000000000000"
"79.9","2071.8750000000000000"
"89.9","1872.1666666666666667"
"99.9","2203.8000000000000000"
"109.0","1576.3333333333333333"
"129.0","2058.5384615384615385"
"139.0","1750.4285714285714286"
"159.0","1802.4000000000000000"
"169.0","1774.7777777777777778"
"189.0","2366.0000000000000000"
"299.0","1290.0000000000000000"
"349.0","1860.0000000000000000"
"439.0","729.0000000000000000"
